id ,Domain    ,Sub_Category ,City     ,Product_Name ,Model_Type              ,Max_Participants ,Price_1h   ,Price_2h ,Price_3h ,Price_Note ,Key_Features                                                                                                                    ,Connectivity_Safety                                                                                      ,Target_Audience ,Photo_URLs                              ,Video_URL ,Human_Style_Note                                       ,Payment_Link                                                           ,Payment_Guide_URL                               ,Bonuses                                ,Location_Link                             ,Location_Desc
 1 ,Terminals ,Product_Info ,Herzliya ,Nova 55 F    ,מסופון האשראי Nova 55 F ,N/A              ,2750 שקלים ,N/A      ,N/A  ;    ,לא כולל מעמ 18 אחוז       ,"מסוף אשראי וקופה ניידת; מדפסת תרמית מובנית 58 מילימטר; מסך מגע 5.5 אינץ'; תומך בתשלומים ללא מגע; סליקה מאובטחת; סוללה עוצמתית" ,"סליקה מאובטחת לפי תקן EMV; קישוריות סלולרית וגם Wi-Fi; המכשיר מתאים לעסקים הזקוקים לפתרון נייד ומאובטח" ,Retailers       ,https://mabotmedia-9831.twil.io/dan.jpg ,          ,Tone: Professional; reliable; focus on technical specs ,https://secure.cardcom.solutions/EA/EA5/5a2HEfT6E6KH1aSdcinQ/PaymentSP ,https://mabotmedia-9831.twil.io/how-to-pay.jpeg ,ניתן לקבל 10 אחוז הנחה על תשלום במזומן ,https://maps.app.goo.gl/w76X2LAeEGUtsD7m6 ,הרצליה רחוב אריק איינשטיין 3
 2 ,Terminals ,Product_Info ,Herzliya ,NOVA MODU    ,מסופון האשראי NOVA MODU ,N/A              ,2350 שקלים ,N/A      ,N/A      ,לא כולל מעמ               ,"מסוף מודולרי; ניתן להוסיף מדפסת קבלות; סורק ברקודים; כיסוי מגן IP66; ניהול נוכחות עובדים ומועדון לקוחות"                      ,"מאובטח בתקן EMV; כל הנתונים מגובים בענן 24/7; פתרון גמיש לעסקים שצריכים התאמה אישית של המסוף"               ,"Businesses needing a customizable, robust POS solution" ,https://mabotmedia-9831.twil.io/dan.jpg ,          ,Tone: Efficient; highlight flexibility                 ,https://secure.cardcom.solutions/EA/EA5/5a2HEfT6E6KH1aSdcinQ/PaymentSP ,https://mabotmedia-9831.twil.io/dan.jpg         ,ניתן לקבל 10 אחוז הנחה על תשלום במזומן ,https://maps.app.goo.gl/w76X2LAeEGUtsD7m6 ,הרצליה רחוב אריק איינשטיין 3
 3 ,Terminals ,Product_Info ,Herzliya ,Nova 156     ,קופת אשראי חכמה Nova 156 ,N/A              ,6750 שקלים ,N/A      ,N/A      ,לא כולל מעמ               ,"קופה חכמה All-in-One; מסך מגע 15.6 אינץ' Full HD; כוללת מסוף Nova 55 ומגירת כסף; מדפסת טרמית 80 מ""מ מובנית; מצב Offline"      ,"תמיכה מלאה בתקן EMV; קישוריות: Wi-Fi; Ethernet; Bluetooth; USB; קופה חזקה ומתקדמת לחנויות ומסעדות"     ,"Retail, shops, cafes, restaurants"                      ,https://mabotmedia-9831.twil.io/dan.jpg ,          ,Tone: High-end; business-oriented                      ,https://secure.cardcom.solutions/EA/EA5/5a2HEfT6E6KH1aSdcinQ/PaymentSP ,https://mabotmedia-9831.twil.io/dan.jpg         ,ניתן לקבל 10 אחוז הנחה על תשלום במזומן ,https://maps.app.goo.gl/w76X2LAeEGUtsD7m6 ,הרצליה רחוב אריק איינשטיין 3
 4 ,Yachts    ,FAQ          ,N/A      ,תהליך סגירת עסקה ,N/A                     ,N/A              ,N/A        ,N/A      ,N/A      ,אופן סגירת עסקה           ,"שלב 1: איסוף פרטים; שלב 2: שליחת אישור (מקדמה 500 שקלים); שלב 3: תשלום באשראי; שלב 4: אישור סופי וקבלה דיגיטלית"             ,"להעביר מקדמה אפשר באפליקציה Paybox או העברה בנקאית לחשבון (אשלח פרטי חשבון) או תשלום באשראי (עסקה טלפונית); שלח לי צילום מסך עם מספר אסמכתא; מייד תקבל קבלה דיגיטלית בווטסאפ; זה אופן סגירת עסקה" ,"Bot, sales process management"                          ,https://mabotmedia-9831.twil.io/joy.jpg ,          ,Tone: Clear; structured; helpful                       ,https://secure.cardcom.solutions/EA/EA5/5a2HEfT6E6KH1aSdcinQ/PaymentSP ,https://mabotmedia-9831.twil.io/closetext.jpg   ,                                        ,                                          ,
 5 ,Yachts    ,FAQ          ,N/A      ,עלויות והזמנה    ,מחיר כולל               ,N/A              ,N/A        ,N/A      ,N/A      ,החל מ-500 שקלים           ,"מחיר משתנה לפי סוג יאכטה ועונה; הנחות על כפל שעות; הזמנה מראש (חודש בקיץ; שבוע בעונות מעבר)"                                   ,"המחיר כולל שלט מזל טוב; בלונים; מוזיקה ושתייה; שירות סקיפר מקצועי; המחירים משתנים בהתאם לעונה ולביקוש"                      ,General customers                                        ,https://mabotmedia-9831.twil.io/joy.jpg ,          ,Tone: Informative; transparent                         ,https://secure.cardcom.solutions/EA/EA5/5a2HEfT6E6KH1aSdcinQ/PaymentSP ,https://mabotmedia-9831.twil.io/closetext.jpg   ,                                        ,                                          ,
 6 ,Yachts    ,FAQ          ,N/A      ,אוכל ושתייה בהפלגה ,N/A                     ,N/A              ,N/A        ,N/A      ,N/A      ,לפי תפריט                ,"אפשרות להזמנת תפריט בשרים; ניתן להביא כיבוד עצמי (מומלץ פירות); מים מינרלים חופשי; ניתן להביא אלכוהול"                        ,"ביטוח לכל משתתף; כולל שלט מזל טוב; בלונים בתוך היאכטה; מוזיקה; ושתייה מים; שירות סקיפר מקצועי; ניתן להזמין קייטרינג בשרים בתיאום מראש" ,"Groups, diners"                                         ,https://mabotmedia-9831.twil.io/joy.jpg ,          ,Tone: Welcoming; tasty details                         ,https://secure.cardcom.solutions/EA/EA5/5a2HEfT6E6KH1aSdcinQ/PaymentSP ,https://mabotmedia-9831.twil.io/closetext.jpg   ,                                        ,                                          ,
 7 ,Yachts    ,FAQ          ,חיפה     ,ירידה למים ושחייה ,N/A                     ,N/A              ,N/A        ,N/A      ,N/A      ,בהזמנה מעל שלוש שעות      ,"ירידה לים מותנית בהזמנה מינימום של שלוש שעות; סולם לירידה למים; עגינה מול הגנים הבהאיים; מותנה באישור סקיפר ומצב הים ורק ליודעים לשחות" ,"הרחצה על אחריות המתרחצים בלבד; הפעילות תלויה בתנאי הים ובאישור הסקיפר בזמן אמת; חובה להישמע להוראות הבטיחות"                     ,Swimmers                                                 ,https://mabotmedia-9831.twil.io/joy.jpg ,          ,Tone: Safety-first but encouraging                     ,                                                                        ,                                                ,                                        ,                                          ,
 8 ,Yachts    ,FAQ          ,הרצליה   ,ירידה למים ושחייה ,N/A                     ,N/A              ,N/A        ,N/A      ,N/A      ,בהזמנה מעל שעתיים         ,"ירידה לים מותנית בהזמנה מינימום של שעתיים; סולם לירידה למים; עגינה מול חופי הרצליה; מותנה באישור סקיפר ומצב הים ורק ליודעים לשחות"  ,"הרחצה על אחריות המתרחצים; תלוי תנאי ים; יש להישמע להוראות הבטיחות של הסקיפר בכל עת"                                              ,Swimmers                                                 ,https://mabotmedia-9831.twil.io/joy.jpg ,          ,Tone: Safety-first but encouraging                     ,https://secure.cardcom.solutions/EA/EA5/5a2HEfT6E6KH1aSdcinQ/PaymentSP ,https://mabotmedia-9831.twil.io/how-to-pay.jpeg ,                                        ,                                          ,
 9 ,Yachts    ,Product_Info ,חיפה     ,ספינת קיפון Kaifun  ,ספינת בילויים ושייט לקבוצות ,30               ,1200 שקלים ,2200 שקלים ,2650 שקלים ,כולל מעמ                  ,"קיבולת: עד 30 מפליגים; אפשרות למנגל על הסיפון; רחבת ריקודים והגברה עוצמתית"                                                       ,"ביטוח לכל משתתף; כולל שלט מזל טוב; בלונים בתוך היאכטה; מוזיקה; ושתייה מים; שירות סקיפר מקצועי; ספינה אידיאלית למסיבות ואירועי חברה" ,"Large groups, companies"                                ,https://mabotmedia-9831.twil.io/kaifun.jpg ,          ,Tone: Energetic; party vibe!                           ,https://secure.cardcom.solutions/EA/EA5/5a2HEfT6E6KH1aSdcinQ/PaymentSP ,https://mabotmedia-9831.twil.io/how-to-pay.jpeg ," בהזמנה של 3 שעות ניתן להביא איתכם בשרים ולעשות על האש בלב הים;מערכת תאורה לייזר חדשה;מסך טלוויזיה ענק; ומערכת הגברה; מנגל על הסיפון; רחבת ריקודים;" ,https://waze.com/ul/hsvbfthjs9            ,"חיפה; מעגן דייג שביט; רציף A; אנו נמצאים בפארק קישון ליד רחוב הדייגים 3"
10 ,Yachts    ,Product_Info ,חיפה     ,Ochen קטמרן אושן   ,יאכטה קטמרן מפוארת         ,13               ,N/A        ,1390 שקלים ,1790 שקלים ,כולל מעמ                  ,"יאכטה יציבה ורחבה; רשת שיזוף קדמית; מתאימה למסיבות רווקות ואירועי VIP"                                                            ,"ביטוח לכל משתתף; כולל שלט מזל טוב; בלונים בתוך היאכטה; מוזיקה; ושתייה מים; שירות סקיפר מקצועי; יאכטה יציבה מאוד ומתאימה לאירועים יוקרתיים" ,"Parties, VIP"                                           ,https://mabotmedia-9831.twil.io/Katamaran.jpeg ,          ,Tone: Luxurious; exclusive                             ,https://secure.cardcom.solutions/EA/EA5/5a2HEfT6E6KH1aSdcinQ/PaymentSP ,https://mabotmedia-9831.twil.io/how-to-pay.jpeg ,מזרן שזוף בחרטום                       ,https://waze.com/ul/hsvbfthjs9            ,"חיפה; מעגן דייג שביט; רציף A; אנו נמצאים בפארק קישון ליד רחוב הדייגים 3"
11 ,Yachts    ,Product_Info ,חיפה     ,King ספינה קינג    ,ספינת בילויים ושייט לקבוצות ,39               ,1990 שקלים ,3290 שקלים ,4790 שקלים ,כולל מעמ                  ,"קיבולת עד 39 איש; מתאימה לאירועים עסקיים גדולים וחתונות קטנות"                                                                     ,"ביטוח לכל משתתף; כולל שלט מזל טוב; בלונים בתוך היאכטה; מוזיקה; ושתייה מים; שירות סקיפר מקצועי; מתאימה מאוד לאירועים רבי משתתפים"      ,"Corporate events, large parties"                        ,https://mabotmedia-9831.twil.io/joy.jpg ,          ,Tone: Professional; grand scale                        ,https://secure.cardcom.solutions/EA/EA5/5a2HEfT6E6KH1aSdcinQ/PaymentSP ,https://mabotmedia-9831.twil.io/how-to-pay.jpeg ," בהזמנה של 3 שעות ניתן להביא איתכם בשרים ולעשות על האש בלב הים;מסך טלוויזיה ענק; ומערכת הגברה; מנגל על הסיפון; רחבת ריקודים;" ,https://waze.com/ul/hsvbfthjs9            ,"חיפה; מעגן דייג שביט; רציף A; אנו נמצאים בפארק קישון ליד רחוב הדייגים 3"
12 ,Yachts    ,Product_Info ,חיפה     ,יאכטה יאמי Yami    ,יאכטה מפרשית המומלצת       ,11               ,N/A        ,1390 שקלים ,1890 שקלים ,כולל מעמ                  ,"מתאימה לקבוצות קטנות; אווירה אינטימית"                                                                                              ,"ביטוח לכל משתתף; כולל שלט מזל טוב; בלונים בתוך היאכטה; מוזיקה; ושתייה מים; שירות סקיפר מקצועי; מושלמת לימי הולדת משפחתיים"          ,"Small groups, families"                                 ,https://mabotmedia-9831.twil.io/joy.jpg ,          ,Tone: Warm; inviting                                   ,https://secure.cardcom.solutions/EA/EA5/5a2HEfT6E6KH1aSdcinQ/PaymentSP ,https://mabotmedia-9831.twil.io/how-to-pay.jpeg ,"בלונים; שלט מזל טוב; מים"             ,https://waze.com/ul/hsvbfthjs9            ,"חיפה; מעגן דייג שביט; רציף A; אנו נמצאים בפארק קישון ליד רחוב הדייגים 3"
